Date,Location,Pint,Number,Cost (per pint),Company,Comments,Spend,Column 1,Column 2,Column 3
03/01/2025,"Oslo Bar, Hackney",Guinness,4,£5.00,Martha,No Egg Smell,£20.00,,,
04/01/2025,"Eagle Ale House, Clapham",Guinness,3,£6.50,"Alex, Jamie, Nina",Dog shit?,£19.50,,,
08/01/2025,"The Royal George, Soho",Lucky saint,1,£7.40,Lucia,Ukelele night,£7.40,,,
09/01/2025,"Corner Bar, Tate Modern",Haze,1,£7.50,Becky,Beats and boards,£7.50,,,
09/01/2025,"Corner Bar, Tate Modern",Rez,2,£7.95,Becky,5-0 Connect4,£15.90,,,
09/01/2025,"Bunch of Grapes, London",Guinness,2,£7.30,Becky,Tom's shelf,£14.60,,,
10/01/2025,"Prince Albert, Brixton",Guinness,2,£5.70,"Alex, Sam C",Sisters tits,£11.40,,,
10/01/2025,"Prince of Wales, Brixton",Guinness ,1,£6.00,"Alex, Avani, Naomi, Georgia, Alina, Charlie G, Nikhita, Saskia",Leaving ,£6.00,,,
15/01/2025,"London Hospital Tavern, Whitechapel",Guinness,2,£6.80,Kit,Magic systems,£13.60,,,
15/01/2025,"The Wheatsheaf, Fitzrovia",Guinness,2,£6.75,Finn,Not so fishy dinner,£13.50,,,
16/01/2025,"Three Colts Tavern, Bethnal Green",Skoosh,1,£6.00,Finn,3-0,£6.00,,,
18/01/2025,"Three Colts Tavern, Bethnal Green",Oona,2,£6.00,"Finn, Charlie, Anna",3 way,£12.00,,,
18/01/2025,"Three Colts Tavern, Bethnal Green",Paddle,1,£6.00,"Finn, Charlie, Anna",Bill Skirrow Babygirl Solo,£6.00,,,
18/01/2025,"Hammersmith Ram, Hammersmith",Guinness,4,£7.15,"Finn, Laurie, Anna, Nina, Dan R, Izzy, Alex, Hannah, Juhi, Ella",Thick neck,£28.60,,,
18/01/2025,"Three Colts Tavern, Bethnal Green",Skoosh,1,£5.67,"Finn, Laurie, Anna",Finn & Tor's sister,£5.67,,,
22/01/2025,"Three Colts Tavern, Bethnal Green",Skoosh,2,£5.67,Miranda,The Middle - Jimmy Eats World,£11.34,,,
23/01/2025,Hen & Chickens Theatre Bar,Guinness,3,£6.50,Jess,Breeze Date Ocado Delivery,£19.50,,,
23/01/2025,Hackney Church Brewery,Renaissance,6,£3.50,"Finn, Shane, Tom, Anna AD, Dan P",23 ruined the game,£21.00,,,
24/01/2025,"Three Colts Tavern, Bethnal Green",Skoosh,4,£5.67,Finn,Finnaly winning a shuffle 3-2,£22.68,,,
25/01/2025,"Three Colts Tavern, Bethnal Green",Skoosh,5,£5.67,"Conor, Paddy, Dan P",,£28.35,,,
25/01/2025,"The Alma, Wandsworth Town",Guinness,8,£7.10,"Alex, Nina, Dan R, Izzy, Hannah, Jo H",Like riding a bike,£56.80,,,
27/01/2025,"London Hospital Tavern, Whitechapel",Guinness Zero,1,£6.50,"Kit, Mark",,£6.50,,,
27/01/2025,"London Hospital Tavern, Whitechapel",Ghost Ship Zero,1,£6.50,"Kit, Mark",,£6.50,,,
28/01/2025,"Four Thieves, Clapham Junction",Guinness,6,£6.95,"Kit, Mark, Robbie, Diogo, Ellen, Bailey, Ruby, Greg, Beth, Sarah, Jake, Abeer, Georgie, Jessica C",,£41.70,,,
29/01/2025,"Thre Stags, Lambeth",Guinness,2,£6.50,"Kit, Mark, Robbie, Diogo, Bailey, Ruby, Greg, Beth, Sarah, Jake, Abeer, Georgie, Jessica C",,£13.00,,,
29/01/2025,"Three Colts Tavern, Bethnal Green",Skoosh,4,£5.67,"Alex, Dan R, Izzy, Finn",Sharky but no Longbottom Leaf,£22.68,,,
31/01/2025,"White Hart, Whitechapel",Guinness,1,£6.20,"Finn, Jeremy",A toast to Ripon,£6.20,,,
31/01/2025,"Montpelier, Peckham",Murphys,4,£5.80,"Georgia, Charlie, Henry, Becky, Tim, Bea",,£23.20,,,
06/02/2025,"Three Colts Tavern, Bethnal Green",Skoosh,4,£5.67,Finn,,£22.68,,,
06/02/2025,"Tonkotsu East, Haggerston",Ichiban,1,£7.00,Joseph,,£7.00,,,
07/02/2025,"Duke of Wellington, Haggerston",Guinness ,5,£6.00,"Dan P, Ellie A",,£30.00,,,
08/02/2025,"Three Colts Tavern, Bethnal Green",Guinness,7,£6.21,"Tom M, Guy, Finn, Dylan",,£43.47,,,
08/02/2025,"Draughts, Dalston Junction",Camden Pale,1,£7.50,Miranda,,£7.50,,,
08/02/2025,"Draughts, Dalston Junction",House Lager,2,£6.00,Miranda,,£12.00,,,
08/02/2025,"Farr's, Dalston",Guinness,2,£6.60,Miranda,Miranda split the G,£13.20,,,
11/02/2025,"The Woolpack, Bermondsey",Guinness,2,£7.50,Passy,Pint 100 motherfucker,£15.00,,,
12/02/2025,"Duke of Wellington, Haggerston",Guinness,2,£6.00,"Sachin, Laurie, Tor",,£12.00,,,
13/02/2025,"King's Head, Chelsea",Guinness,2,£7.45,"Tom M, Guy, Finn, Dylan, Jez, Henry",,£14.90,,,
13/02/2025,"The Raven, Bath",Flight,2,£8.00,"Kit, Georgie, Tan, Ros",,£16.00,,,
14/02/2025,"Duke of Wellington, Haggerston",Guinness,2,£6.00,Finn,,£12.00,,,
14/02/2025,"Soho Theatre Bar, Soho",Mosaic ,4,£7.50,"Oli, Ellie, Alex, Henny, Yelande",,£30.00,,,
15/02/2025,"The Devonshire, Balham",Guinness,3,£7.40,Sam C,,£22.20,,,
16/02/2025,"The Horniman at Hays, London Bridge",Guinness,1,£7.00,Passy,,£7.00,,,
